session_ID,trial_ID,subject_ID,cohort_ID,response_time_sec,response_decision,trial_condition,shape_description,angular_disparity,object_angles,thumbstick_angle,thumbstick_time_sec,action_count,action_angles,action_durations,first_action_onset,last_action_offset,action_time_intervals,vr_setup
2,33,0xFB,-1,14.46545,Mismatch,Mismatch,bbbdddrrb,0,"{'1': 311.07339910705457, '2': 311.07339910705457}","[0.0, 1.98, 5.9, 10.01, 14.28, 18.63, 23.06, 27.56, 32.12, 36.77, 41.57, 46.41, 51.31, 56.21, 61.12, 66.03, 70.93, 75.85, 80.78, 85.73, 90.69, 95.67, 100.65, 105.65, 110.65, 115.65, 120.65, 125.65, 130.65, 135.65, 140.64, 145.64, 150.64, 155.63, 160.62, 165.62, 170.61, 175.6, 180.59, 185.57, 190.55, 195.53, 200.5, 205.44, 208.22, 208.22, 209.03, 210.71, 213.64, 218.51, 223.47, 228.42, 233.37, 238.32, 243.27, 248.22, 253.17, 258.12, 263.07, 268.03, 273.02, 278.02]","[9.285034, 9.299927, 9.313965, 9.327881, 9.340942, 9.35498, 9.369019, 9.382324, 9.396606, 9.410522, 9.424072, 9.438354, 9.452026, 9.46582, 9.479858, 9.493774, 9.50769, 9.52124, 9.535522, 9.549561, 9.562866, 9.577148, 9.591064, 9.604492, 9.618774, 9.632813, 9.646362, 9.6604, 9.674316, 9.688354, 9.70166, 9.715942, 9.72998, 9.74353, 9.75769, 9.771484, 9.785034, 9.799316, 9.813232, 9.826904, 9.84082, 9.854858, 9.868774, 9.882202, 11.54895, 11.56262, 11.5769, 11.59082, 11.60425, 11.61853, 11.63245, 11.64612, 11.6604, 11.67419, 11.68823, 11.70142, 11.71594, 11.72998, 11.74316, 11.75757, 11.77148, 11.78479]",2.0,"{'1': 154.54699357071374, '2': -68.0006010518406}","{'1': 0.620000000000001, '2': 0.22999999999999865}",9.27,11.78,"{'1': {'start': 9.27, 'end': 9.89}, '2': {'start': 11.55, 'end': 11.78}}",Action
2,34,0xFB,-1,2.808228,Mismatch,Mismatch,bddrddddd,60,"{'1': 334.75424494544546, '2': 274.75424494544546}",[],[],0.0,{},{},0.0,2.808228,{},Action
2,35,0xFB,-1,6.486938,Mismatch,Mismatch,bdddllbbb,0,"{'1': 158.66733192120256, '2': 158.66733192120256}",[],[],0.0,{},{},0.0,6.486938,{},Action
2,36,0xFB,-1,9.156372,Mismatch,Mismatch,rbbbbbbub,0,"{'1': 155.13026934030677, '2': 155.13026934030677}",[],[],0.0,{},{},0.0,9.156372,{},Action
2,37,0xFB,-1,4.656372,Mismatch,Mismatch,uuubbrrrf,180,"{'1': 152.58248904596337, '2': 332.58248904596337}",[],[],0.0,{},{},0.0,4.656372,{},Action
2,38,0xFB,-1,6.718628,Mismatch,Mismatch,lllbbbubb,60,"{'1': 54.775586312017374, '2': 114.77558631201737}",[],[],0.0,{},{},0.0,6.718628,{},Action
2,39,0xFB,-1,12.06958,Mismatch,Mismatch,uuuuubbul,60,"{'1': 253.04931586615646, '2': 193.04931586615646}","[0.0, 0.0, 359.45, 358.57, 356.65, 354.2, 350.85, 345.85, 340.85, 335.85, 330.85, 325.85, 320.85, 315.85, 310.85, 305.85, 300.88, 295.92, 290.98, 286.04, 281.13, 276.24, 271.36, 266.48, 261.6, 256.71, 251.83, 246.95, 242.07, 237.18, 232.3, 227.42, 222.54, 217.67, 212.81, 207.96, 203.14, 199.06, 197.49, 197.31, 197.06, 196.8, 196.54, 196.28, 196.08, 196.08, 196.68, 197.71, 199.29, 202.14, 205.23, 208.95, 213.22, 217.95, 222.8, 227.6, 232.26, 233.57]","[3.611084, 3.625488, 3.639526, 3.65271, 3.666992, 3.68103, 3.694336, 3.708496, 3.722534, 3.736328, 3.750488, 3.764648, 3.77832, 3.791626, 3.805786, 3.819824, 3.833374, 3.847534, 3.861938, 3.875244, 3.889282, 3.90332, 3.91748, 3.930542, 3.94458, 3.95874, 3.97229, 3.98645, 4.000488, 4.013794, 4.028198, 4.042114, 4.055542, 4.069702, 4.08374, 4.098022, 4.111328, 4.125366, 6.055908, 6.07019, 6.084229, 6.098267, 6.114624, 6.125977, 9.820068, 9.833984, 9.848267, 9.862427, 9.87561, 9.889648, 9.903564, 9.917603, 9.93103, 9.945313, 9.959106, 9.972412, 9.986694, 10.00061]",2.0,"{'1': 160.9437685686196, '2': -37.43257320835565}","{'1': 0.5099999999999998, '2': 0.17999999999999972}",3.62,10.0,"{'1': {'start': 3.62, 'end': 4.13}, '2': {'start': 9.82, 'end': 10.0}}",Action
2,40,0xFB,-1,3.129028,Mismatch,Mismatch,bbbdddrrb,180,"{'1': 294.278615462114, '2': 114.27861546211398}",[],[],0.0,{},{},0.0,3.129028,{},Action
2,41,0xFB,-1,3.43335,Mismatch,Mismatch,llbbbrruu,180,"{'1': 286.9098219050356, '2': 106.90982190503559}",[],[],0.0,{},{},0.0,3.43335,{},Action
2,42,0xFB,-1,8.565308,Mismatch,Mismatch,ffuuuurrf,180,"{'1': 221.09142116161618, '2': 41.09142116161618}",[],[],0.0,{},{},0.0,8.565308,{},Action
