session_ID,trial_ID,subject_ID,cohort_ID,response_time_sec,response_decision,trial_condition,shape_description,angular_disparity,object_angles,vr_setup
6,34,0xBA,2,4.527466,Mismatch,Mismatch,bddrddddd,120,"{'1': 65.08273868907158, '2': 185.08273868907156}",No-Action
6,35,0xBA,2,6.198792,Mismatch,Mismatch,bdddllbbb,60,"{'1': 308.5883654121912, '2': 248.58836541219117}",No-Action
6,36,0xBA,2,3.846039,Mismatch,Mismatch,ddbbddddl,0,"{'1': 125.21857502276171, '2': 125.21857502276171}",No-Action
6,37,0xBA,2,5.087219,Mismatch,Mismatch,bddrbbbbb,60,"{'1': 314.67934070945427, '2': 254.67934070945427}",No-Action
6,38,0xBA,2,15.14093,Mismatch,Mismatch,ffuulllbb,0,"{'1': 142.60164994117167, '2': 142.60164994117167}",No-Action
6,39,0xBA,2,4.691467,Mismatch,Mismatch,bddrbbbbb,60,"{'1': 297.9093840424906, '2': 237.90938404249061}",No-Action
6,40,0xBA,2,7.677734,Mismatch,Mismatch,bddddddrd,120,"{'1': 130.6822540982511, '2': 250.6822540982511}",No-Action
6,41,0xBA,2,5.45694,Mismatch,Mismatch,ddbbddddl,0,"{'1': 147.1610739618407, '2': 147.1610739618407}",No-Action
6,42,0xBA,2,5.455872,Mismatch,Mismatch,lllbbbluu,60,"{'1': 148.3178032386795, '2': 88.31780323867949}",No-Action
6,43,0xBA,2,2.323547,Mismatch,Mismatch,bdddddfll,120,"{'1': 32.4001609445189, '2': 152.40016094451892}",No-Action
6,44,0xBA,2,3.37738,Mismatch,Mismatch,bddddddrd,60,"{'1': 247.26635162871762, '2': 187.26635162871762}",No-Action
6,45,0xBA,2,2.655273,Mismatch,Mismatch,bbddbblll,180,"{'1': 299.70333809089504, '2': 119.70333809089502}",No-Action
6,46,0xBA,2,5.580536,Mismatch,Mismatch,bdddbllll,60,"{'1': 120.74459856735571, '2': 60.74459856735571}",No-Action
6,47,0xBA,2,10.13666,Mismatch,Mismatch,bdddllbbb,180,"{'1': 29.840007912279223, '2': 209.84000791227922}",No-Action
6,48,0xBA,2,5.112366,Mismatch,Mismatch,bbdddbrrr,120,"{'1': 115.24259211799024, '2': 355.2425921179902}",No-Action
6,49,0xBA,2,4.870117,Mismatch,Mismatch,uuuuubbul,60,"{'1': 66.18386454615198, '2': 126.18386454615198}",No-Action
7,0,0xBA,1,12.54895,Mismatch,Match,uubbbrrrb,180,"{'1': 160.83256037875475, '2': 340.83256037875475}",No-Action
7,1,0xBA,1,2.487549,Match,Match,bbbdddrrb,60,"{'1': 297.0526715508145, '2': 237.05267155081452}",No-Action
7,2,0xBA,1,7.51416,Match,Match,lllbbbubb,180,"{'1': 73.56548998781912, '2': 253.56548998781912}",No-Action
7,3,0xBA,1,3.020264,Mismatch,Match,ffuuuurrf,0,"{'1': 23.282554720997183, '2': 23.282554720997183}",No-Action
7,4,0xBA,1,6.85083,Match,Match,bdddddfll,60,"{'1': 320.8989396087263, '2': 260.8989396087263}",No-Action
7,5,0xBA,1,5.863037,Match,Match,llbbbbbru,60,"{'1': 154.53545241524535, '2': 94.53545241524535}",No-Action
7,6,0xBA,1,1.76062,Match,Match,lllllbbul,0,"{'1': 235.19481536945403, '2': 235.19481536945403}",No-Action
7,7,0xBA,1,5.356689,Match,Match,bddrbbbbb,0,"{'1': 293.9502017183571, '2': 293.9502017183571}",No-Action
7,8,0xBA,1,2.564453,Mismatch,Match,lllbbbluu,120,"{'1': 49.004933720925365, '2': 169.00493372092535}",No-Action
7,9,0xBA,1,5.877686,Match,Match,lllbbbubb,180,"{'1': 312.57481992843844, '2': 132.57481992843842}",No-Action
7,10,0xBA,1,3.336304,Match,Match,rrrbbbddb,180,"{'1': 130.03348319557549, '2': 310.0334831955755}",No-Action
7,11,0xBA,1,6.253174,Match,Match,rbbbbbldd,120,"{'1': 333.4370891178977, '2': 93.43708911789771}",No-Action
7,12,0xBA,1,3.04541,Match,Match,llbbbrruu,180,"{'1': 48.150524802825046, '2': 228.15052480282503}",No-Action
7,13,0xBA,1,2.014648,Match,Match,lllllbbul,60,"{'1': 117.20635363661125, '2': 57.206353636611254}",No-Action
7,14,0xBA,1,7.675781,Match,Match,lllllbbul,180,"{'1': 247.03421990315496, '2': 67.03421990315496}",No-Action
7,15,0xBA,1,3.154419,Match,Match,rrrrbbbdr,60,"{'1': 60.6720246388287, '2': 0.6720246388287023}",No-Action
7,16,0xBA,1,5.613892,Match,Match,uuuuubbul,60,"{'1': 206.5426578330488, '2': 266.5426578330488}",No-Action
7,17,0xBA,1,3.959473,Match,Match,bddrbbbbb,120,"{'1': 288.7000593936109, '2': 48.7000593936109}",No-Action
7,18,0xBA,1,4.516235,Match,Match,rrrrbbbdr,0,"{'1': 22.276631744938747, '2': 22.276631744938747}",No-Action
7,19,0xBA,1,2.043579,Match,Match,bdddbllll,120,"{'1': 120.91586715760242, '2': 0.9158671576024204}",No-Action
7,20,0xBA,1,5.37793,Match,Match,uubbbrrrb,120,"{'1': 236.45600181787148, '2': 116.45600181787148}",No-Action
7,21,0xBA,1,2.349487,Match,Match,bdddbllll,120,"{'1': 297.9629521630802, '2': 177.96295216308025}",No-Action
7,22,0xBA,1,3.210815,Match,Match,lbbddllll,120,"{'1': 328.42560545831884, '2': 208.42560545831884}",No-Action
7,23,0xBA,1,2.043457,Match,Match,bdddbllll,0,"{'1': 117.94234251970374, '2': 117.94234251970374}",No-Action
7,24,0xBA,1,6.418701,Match,Match,ffuuuurrf,60,"{'1': 238.03031525122972, '2': 178.03031525122972}",No-Action
7,25,0xBA,1,5.739136,Mismatch,Mismatch,rbbbbbbub,60,"{'1': 343.43492894494125, '2': 43.43492894494126}",No-Action
7,26,0xBA,1,3.567261,Mismatch,Mismatch,lllllbbul,60,"{'1': 207.31121944602046, '2': 147.31121944602046}",No-Action
7,27,0xBA,1,2.193848,Mismatch,Mismatch,ddbbddddl,180,"{'1': 286.02115239405117, '2': 106.02115239405117}",No-Action
7,28,0xBA,1,3.166626,Mismatch,Mismatch,llbbbbbru,120,"{'1': 59.32949026541962, '2': 179.32949026541962}",No-Action
7,29,0xBA,1,2.315918,Mismatch,Mismatch,uuuubbbur,60,"{'1': 53.50236138222004, '2': 113.50236138222004}",No-Action
7,30,0xBA,1,4.711548,Mismatch,Mismatch,dbbbblllu,60,"{'1': 232.97719760635076, '2': 292.9771976063507}",No-Action
7,31,0xBA,1,4.871704,Match,Mismatch,uubbbrrrb,180,"{'1': 211.45138783587447, '2': 31.45138783587447}",No-Action
7,32,0xBA,1,5.338257,Mismatch,Mismatch,lbbddllll,180,"{'1': 131.31629236446844, '2': 311.31629236446844}",No-Action
7,33,0xBA,1,3.444946,Mismatch,Mismatch,ffuubllll,120,"{'1': 246.59987517738313, '2': 6.599875177383112}",No-Action
7,34,0xBA,1,2.279419,Mismatch,Mismatch,bbdddbrrr,120,"{'1': 51.1903238702573, '2': 171.19032387025732}",No-Action
7,35,0xBA,1,7.99707,Mismatch,Mismatch,bbddbblll,120,"{'1': 292.0774989103786, '2': 52.07749891037858}",No-Action
7,36,0xBA,1,2.218384,Mismatch,Mismatch,bddrddddd,60,"{'1': 110.418110027414, '2': 50.418110027414}",No-Action
